word,Anxious,Depressed,Happy,Introvert,Stable,bio_frequency,km_half_life_days,lognormal_half_life_days,lognormal_mu,lognormal_sigma,prev1,prev2,unique_users
ephemeral,46.96368187358179,58.47115255268115,45.00996150092753,68.40397082252039,41.49681300828441,36.0,268.0,278.14,5.628138,1.798411,0.1044012977081305,0.1476496506920106,33.0
ephesians,39.31174969979854,32.30231764324333,56.05128717046528,47.39864167510995,59.09286524648083,222.0,296.0,294.93,5.686745,2.209927,2.857985524760073,1.787337876798023,206.0
epic,39.25080273344852,48.43190343719096,58.36653947917859,62.47089128108984,56.480687888753614,567.0,307.0,264.13,5.576442,1.987279,3.627945095357535,4.483886760488954,506.0
epicurean,39.36873985990644,42.12115001984699,69.50201573436698,64.05534752944132,72.5307039023223,40.0,446.0,388.38,5.961986,1.962339,0.4828560019001036,0.2875282671370732,39.0
epidemic,51.65872861014507,55.6025201149743,45.938220196224194,74.81658200442287,53.59599451548834,49.0,244.0,231.4,5.444168,2.09213,0.169652108775712,0.2719861986431774,49.0
epidemiologist,57.06021965389523,52.96051939628696,44.2128817087698,84.02329211921527,51.870390114971535,41.0,941.0,835.92,6.728535,2.346334,0.4437055152595546,1.4920385754140018,36.0
epidemiology,54.23920154053887,44.4552221661595,42.32245845050882,83.1683542483434,63.08246485172028,40.0,314.0,255.57,5.5435,2.250834,0.3001537309108752,1.1267999658074492,31.0
epilepsy,63.511569289976,57.60179074769991,60.77159392506539,74.62624943390728,53.75977907244083,57.0,774.0,773.07,6.650374,2.428349,0.8221602194515277,0.8781268699051157,47.0
episcopal,28.48981105390195,29.552357772216148,82.74493937900722,82.82118444183422,79.33605887666495,119.0,1634.0,1360.14,7.215343,2.3655,1.787872223251735,1.2433654795116682,97.0
episcopalian,42.45632391105888,54.2655857847924,62.12357535102176,77.71091570263985,59.07754885619586,117.0,904.0,695.68,6.544896,2.436189,0.913511354946142,1.3599309932158872,84.0
episode,43.41594858594867,45.1787869332476,46.20305799510151,51.0835284953388,37.91347547706638,377.0,123.0,126.04,4.836563,1.96697,1.0179126526542726,1.896132356255294,331.0
episodes,39.39701880071258,40.52603591240637,55.82463490712727,58.604151971755016,47.00684933215856,281.0,174.0,180.69,5.196787,1.733269,0.7438592461704299,2.059324075441201,243.0
epitome,53.35079532218722,46.68470627058519,31.038701563080384,38.181736440819,43.19416819184666,100.0,119.0,115.98,4.753428,2.055742,0.665558272889332,0.5051172260516152,95.0
epl,37.0127345068991,34.01443038017357,61.83710193186962,49.37938845155684,65.74470019951133,59.0,409.0,396.41,5.98246,2.001023,0.456755677473071,0.3885517123473963,56.0
eps,45.790377774141774,47.75504269348699,63.59375365748461,31.305501292674947,45.42341458710884,55.0,87.0,131.97,4.882542,1.896663,0.1044012977081305,0.2409020616553857,48.0
epsilon,41.15363954479008,39.50174046772852,51.32336559558126,37.56618602149096,50.1897945906917,149.0,224.0,245.01,5.501318,1.5767,1.7356715743976698,0.4584910205699276,129.0
eq,39.91054509699018,35.33077192144325,53.48220357363344,63.543747386286455,72.61189702981454,45.0,214.0,172.1,5.148048,2.251175,0.2479530820568099,0.2875282671370732,36.0
equal,49.272411031556345,53.61585617042011,54.4487669357524,66.24182684399754,55.36053906830786,1146.0,437.0,444.94,6.097937,2.250506,7.125388568579908,8.462656294926292,1101.0
equality,55.31811763271748,59.059501948685856,53.92365800644677,63.07946915655223,52.866212155819305,1037.0,360.0,347.18,5.849846,2.143826,8.339053654436924,10.591919678590024,916.0
equally,54.79379229374338,57.87067310386883,45.91241707242438,63.57487230760808,42.682707900436654,143.0,156.0,176.91,5.175616,2.008851,0.99181232822724,1.0180054863501784,138.0
equals,42.38380273563989,39.66294761334093,43.22105431043482,48.04335695697109,43.70697199976751,93.0,140.0,126.2,4.837898,2.071619,0.5872572996082341,0.4118648150882401,91.0
equestrian,53.69345421394029,52.91651227392481,58.82360680734424,60.35915418627737,58.49441549547285,134.0,571.0,490.92,6.196276,2.278385,1.9705744942409635,1.2045103082769286,103.0
equine,51.28545845840004,45.81466379107269,71.75702472213301,72.14734969604343,62.56297608149308,58.0,844.0,905.59,6.808586,1.847844,0.7438592461704299,0.4584910205699276,51.0
equip,18.714493856227023,14.896569116296671,89.45127448105235,80.92153473903427,92.36521207368754,88.0,680.0,858.91,6.755663,1.819447,0.7699595705974626,0.528430328792459,83.0
equipment,27.21569982139223,29.49668896290576,75.65803860686312,53.41638773925772,78.2972555350578,282.0,1101.0,1381.02,7.230578,2.340497,2.153276765230192,2.556670267245868,260.0
equipo,56.65683740992189,17.612117103170444,86.45024353788943,47.15654595254554,71.1188649079805,59.0,712.0,543.23,6.297524,2.401452,0.1044012977081305,0.209817924667594,58.0
equipped,35.402983656242704,35.06995550630829,51.25922813493558,59.18198176532521,62.77147444868813,57.0,201.0,197.86,5.28757,2.195045,0.3654045419784568,0.3263834383718129,53.0
equipping,18.53639275789292,17.94808130825117,89.58235359564857,85.68502606684348,93.27269018409528,90.0,717.0,805.69,6.691702,2.188685,1.0048624904407562,0.3652386096065525,81.0
equitable,34.900313077452395,30.875109651952982,76.69266055289233,84.27275949580665,86.22559936497134,205.0,1494.0,1525.11,7.329824,2.238131,0.4698058396865873,1.4998096096609497,196.0
equities,28.96643282990816,38.19062853378604,51.35899556446317,77.30564437696924,73.94759855664802,68.0,450.0,468.29,6.149093,1.821265,0.3262540553379078,0.629453774002782,60.0
equity,42.42199600480473,35.85407020043741,72.5443567231037,77.97706175325972,74.26804081706065,809.0,745.0,666.86,6.502578,2.059215,3.96724931290896,10.288849342959054,712.0
equivalent,54.06968000307515,60.94076533191745,24.56340055052173,45.8087430180908,29.78402703395045,61.0,104.0,108.56,4.687302,1.995526,0.4045550286190057,0.4118648150882401,59.0
er,51.21823637195786,55.45320336106132,53.742364781672016,60.80755377886804,54.294869783323406,807.0,251.0,251.9,5.529026,2.110845,6.433729971263543,6.278995671533925,712.0
era,46.3527007123725,51.81744915009384,55.057867977373085,54.67046577037049,54.02080105913228,726.0,173.0,177.99,5.181718,2.109776,2.701383578197877,3.6057598905838377,660.0
eras,51.5400003905092,50.31731372629808,64.98029535676572,68.19930675721749,33.49237638993912,48.0,320.0,208.66,5.340711,2.410907,0.0913511354946142,0.1321075821981147,47.0
erase,40.27856689683485,44.89155836156552,29.3239806109127,52.427467477907776,20.08509963670307,49.0,97.0,95.26,4.556591,2.202287,0.1566019465621957,0.202046890420646,48.0
