Word,Happy,Stable,Introvert,Anxious,Depressed
nba2k,0.9754034008665087,0.8335706033512706,0.9250562037495929,0.5047450989652269,0.48029092194676437
3rd,0.570787445920657,0.47459394002993416,0.9782821239223363,0.5781921413658047,0.5583168381558425
managers,0.6649911080517497,0.3008774585942344,0.5384759568767761,0.5470924014111311,0.4930329410299654
agent,0.01145481915928781,0.0009475908386447074,0.13380036176168209,0.26362064047788025,0.18793121595898965
mater,0.4883911870071467,0.41447931799223237,0.9398540706121523,0.934513973457112,0.8078764282830038
commentator,0.8020915364084837,0.7329041486826893,0.3182200181347281,0.39490992590485297,0.7673053546976716
nursing,0.25057670284155753,0.25646538801675645,0.7055741116654084,0.17367474845031516,0.8698637572724406
teenagers,0.5570710606764457,0.7474962234637961,0.5249795615011146,0.8124983389352634,0.8341301685706468
teenage,0.8126605280478112,0.7171682084567081,0.7807395984142669,0.9080689834884528,0.9111739854239875
cons,0.9416233786568731,0.7663553629878188,0.6405403894990724,0.9924823904297793,0.9793544895422082
🎯,0.8556965074261753,0.9243535391408084,0.8532109327444457,0.5993250578868135,0.6321030274210786
august,0.7309926890568721,0.9900126587500522,0.727015076338809,0.7997664298767428,0.9004758613320176
⌨,0.9679357085798614,0.9359901444877381,0.8964074651999876,0.7932149102805721,0.9030192546506843
associate,0.003440749552020561,0.003583500535911277,0.009949196039937824,0.1476370941271663,0.03783175771389935
origin,0.9905343475284079,0.88402093108219,0.6282911489621557,0.8203898096863507,0.8954225930842727
supports,0.3360499733052231,0.43064918174998335,0.27548118882168415,0.881244887292731,0.8926828907823809
environments,0.2728962214842694,0.3076095436068125,0.26867663029912237,0.7327195546158429,0.634233422296079
bearded,0.8394012316511839,0.875421208691493,0.7739395953105361,0.8667224144368555,0.884560446723549
104,0.5487284992773875,0.4191969768796451,0.6223585709924269,0.5764493318467285,0.5514804516254994
🔶,0.9436894512542009,0.842039352624868,0.8348598505310871,0.6943985292752726,0.5020389930272691
shade,0.6977753712108448,0.64490655801216,0.7001272523451259,0.9303013424180739,0.9065580690170063
neurology,0.7321056886624313,0.7370463780269145,0.3926159552005002,0.9504513188619035,0.8733936228191217
不,0.8590020711646598,0.8309796458021566,0.9239269263018697,0.9321537455806332,0.8209082538287704
drawn,0.9628545257586141,0.8400772900991003,0.6808162580953039,0.9483575680686631,0.7589637003487646
tie,0.8935778398250356,0.8158049789165316,0.9741704751666609,0.8083227029460036,0.8754769110585361
soon-to-be,0.8598964070499591,0.9859093959161591,0.6254595591283936,0.9423352415244544,0.9834365894588564
sg,0.9423199137783893,0.9499177692859506,0.6413035376189589,0.6494712739124264,0.5567184350321814
sdsu,0.7554469010258642,0.7700248196596344,0.8243958959076898,0.8451684614539801,0.6049047226275803
federation,0.5967468448283615,0.5183192298605703,0.6064549816968703,0.7907781424731457,0.7036574108639315
trouble,0.5423413309770946,0.6324252547719933,0.9535334851455652,0.9234500314185885,0.7577077332586915
nah,0.45966285722002365,0.5040276565621571,0.4908530014855228,0.9976686642924273,0.837180419608589
🕴,0.8586559860350236,0.982382413550748,0.8204883463866661,0.7973873907157183,0.823696067685816
aware,0.8916144063522344,0.9363935201316069,0.7996442865913092,0.874994395600315,0.8988568668956265
historic,0.07586166944375927,0.12744890425583355,0.3170756294433543,0.6608402071226709,0.656717101460282
h-town,0.9196517196033793,0.8969889015658055,0.5469800702136045,0.8359237096948846,0.7493180839748683
ec,0.8153054769168775,0.9905547979932428,0.8580183272513637,0.8383340760065299,0.781169437164636
coral,0.7398295667042001,0.6218238736094039,0.9949705635601647,0.5019667227240854,0.6569611990896669
hotmail,0.7804161731298533,0.7302317785040355,0.4275505137993574,0.7774509558340499,0.7213750826183278
oldest,0.35583715517966463,0.4870779498234068,0.6463851159821883,0.6931674595291868,0.6035988005594934
coupon,0.6312215611994854,0.7439490251407765,0.7218037724767847,0.9975865552566161,0.8918430322252002
centrist,0.9019424587308797,0.9788879356824172,0.6640276116743344,0.9094189316383483,0.671440675281159
economic,0.09842794948954947,0.013426042817186623,0.04777454275204973,0.23227110234948745,0.35860576289931
kiss,0.687060090145537,0.7082643044082153,0.48518272212294256,0.6628443601871419,0.6891102021077793
napping,0.5645804875067999,0.5508386163258159,0.9792761968711359,0.8039125372615143,0.807585093617398
